"Date","Price"
"2016-01-04",46.69
"2016-01-05",47.33
"2016-01-06",47.52
"2016-01-07",47.41
"2016-01-08",46.86
"2016-01-11",47.13
"2016-01-12",47.01
"2016-01-13",46.19
"2016-01-14",46.32
"2016-01-15",45.44
"2016-01-19",46.16
"2016-01-20",45.07
"2016-01-21",45.59
"2016-01-22",46.23
"2016-01-25",46.47
"2016-01-26",46.75
"2016-01-27",46.62
"2016-01-28",47.13
"2016-01-29",48.31
"2016-02-01",48.56
"2016-02-02",48.14
"2016-02-03",48.11
"2016-02-04",47.77
"2016-02-05",47.92
"2016-02-08",47.95
"2016-02-09",47.84
"2016-02-10",47.65
"2016-02-11",47.31
"2016-02-12",48.01
"2016-02-16",47.97
"2016-02-17",48.3
"2016-02-18",47.73
"2016-02-19",47.88
"2016-02-22",48.25
"2016-02-23",48.42
"2016-02-24",48.64
"2016-02-25",49.21
"2016-02-26",48.09
"2016-02-29",47.87
"2016-03-01",48.27
"2016-03-02",48.19
"2016-03-03",48.41
"2016-03-04",48.84
"2016-03-07",48.95
"2016-03-08",49.14
"2016-03-09",49.26
"2016-03-10",49.41
"2016-03-11",49.48
"2016-03-14",49.35
"2016-03-15",49.72
"2016-03-16",49.59
"2016-03-17",49.72
"2016-03-18",49.42
"2016-03-21",49.78
"2016-03-22",49.53
"2016-03-23",49.42
"2016-03-24",49.54
"2016-03-28",49.68
"2016-03-29",49.75
"2016-03-30",50.36
"2016-03-31",50.21
"2016-04-01",50.77
"2016-04-04",50.79
"2016-04-05",50.44
"2016-04-06",50.79
"2016-04-07",50.46
"2016-04-08",50.85
"2016-04-11",50.42
"2016-04-12",51.02
"2016-04-13",50.89
"2016-04-14",50.51
"2016-04-15",50.76
"2016-04-18",50.98
"2016-04-19",51.13
"2016-04-20",50.42
"2016-04-21",49.77
"2016-04-22",50.15
"2016-04-25",50.6
"2016-04-26",50.49
"2016-04-27",50.53
"2016-04-28",50.49
"2016-04-29",49.86
"2016-05-02",50.22
"2016-05-03",50.09
"2016-05-04",50.28
"2016-05-05",50.34
"2016-05-06",50.86
"2016-05-09",51.17
"2016-05-10",51.5
"2016-05-11",50.68
"2016-05-12",50.92
"2016-05-13",49.79
"2016-05-16",50.1
"2016-05-17",49.31
"2016-05-18",48.31
"2016-05-19",50.24
"2016-05-20",50.09
"2016-05-23",50.08
"2016-05-24",50.5
"2016-05-25",50.57
"2016-05-26",50.91
"2016-05-27",50.9
"2016-05-31",50.68
"2016-06-01",50.92
"2016-06-02",51.19
"2016-06-03",51.33
"2016-06-06",51.42
"2016-06-07",51.35
"2016-06-08",51.64
"2016-06-09",51.71
"2016-06-10",51.64
"2016-06-13",51.38
"2016-06-14",51.56
"2016-06-15",51.49
"2016-06-16",51.84
"2016-06-17",51.61
"2016-06-20",51.63
"2016-06-21",51.96
"2016-06-22",51.94
"2016-06-23",52.26
"2016-06-24",51.49
"2016-06-27",51.39
"2016-06-28",51.4
"2016-06-29",51.97
"2016-06-30",52.96
"2016-07-01",52.81
"2016-07-05",53.15
"2016-07-06",53.21
"2016-07-07",53.57
"2016-07-08",53.89
"2016-07-11",54.14
"2016-07-12",53.88
"2016-07-13",54.31
"2016-07-14",54.34
"2016-07-15",54.25
"2016-07-18",54.17
"2016-07-19",54.21
"2016-07-20",54.06
"2016-07-21",53.88
"2016-07-22",54.07
"2016-07-25",54.08
"2016-07-26",53.84
"2016-07-27",53.5
"2016-07-28",53.68
"2016-07-29",53.83
"2016-08-01",54.06
"2016-08-02",53.81
"2016-08-03",53.56
"2016-08-04",53.77
"2016-08-05",53.98
"2016-08-08",53.71
"2016-08-09",53.81
"2016-08-10",54.24
"2016-08-11",54.1
"2016-08-12",54.15
"2016-08-15",54.01
"2016-08-16",53.67
"2016-08-17",53.83
"2016-08-18",54.19
"2016-08-19",53.7
"2016-08-22",53.61
"2016-08-23",53.36
"2016-08-24",53.51
"2016-08-25",53.13
"2016-08-26",52.98
"2016-08-29",53.22
"2016-08-30",52.97
"2016-08-31",53.09
"2016-09-01",53.67
"2016-09-02",53.74
"2016-09-06",53.92
"2016-09-07",53.41
"2016-09-08",53.26
"2016-09-09",51.96
"2016-09-12",53.04
"2016-09-13",52.47
"2016-09-14",52.61
"2016-09-15",53.01
"2016-09-16",53.1
"2016-09-19",52.98
"2016-09-20",53.13
"2016-09-21",53.43
"2016-09-22",53.66
"2016-09-23",53.54
"2016-09-26",53.23
"2016-09-27",53.58
"2016-09-28",53.38
"2016-09-29",53.17
"2016-09-30",53.89
"2016-10-03",53.71
"2016-10-04",53.3
"2016-10-05",52.94
"2016-10-06",52.36
"2016-10-07",52.04
"2016-10-10",51.88
"2016-10-11",51.52
"2016-10-12",51.69
"2016-10-13",51.88
"2016-10-14",52.2
"2016-10-17",52.15
"2016-10-18",52.37
"2016-10-19",52.17
"2016-10-20",52.01
"2016-10-21",51.81
"2016-10-24",52.58
"2016-10-25",52.61
"2016-10-26",52.62
"2016-10-27",52.57
"2016-10-28",52.75
"2016-10-31",52.79
"2016-11-01",52.44
"2016-11-02",52.47
"2016-11-03",52.51
"2016-11-04",52.12
"2016-11-07",52.65
"2016-11-08",53.17
"2016-11-09",53.13
"2016-11-10",52.04
"2016-11-11",51.98
"2016-11-14",51.22
"2016-11-15",51.64
"2016-11-16",51.6
"2016-11-17",50.91
"2016-11-18",50.61
"2016-11-21",51.15
"2016-11-22",51.56
"2016-11-23",51.37
"2016-11-25",51.68
"2016-11-28",51.85
"2016-11-29",51.84
"2016-11-30",51.05
"2016-12-01",50.81
"2016-12-02",51.34
"2016-12-05",51.08
"2016-12-06",51.46
"2016-12-07",52.05
"2016-12-08",51.79
"2016-12-09",52.13
"2016-12-12",52.96
"2016-12-13",53.25
"2016-12-14",52.77
"2016-12-15",52.94
"2016-12-16",53.08
"2016-12-19",53.13
"2016-12-20",53.05
"2016-12-21",52.81
"2016-12-22",52.5
"2016-12-23",52.41
"2016-12-27",52.47
"2016-12-28",52.2
"2016-12-29",52.29
"2016-12-30",52.14
"2017-01-03",52.01
"2017-01-04",52.2
"2017-01-05",52.19
"2017-01-06",51.86
"2017-01-09",51.67
"2017-01-10",51.09
"2017-01-11",51.13
"2017-01-12",50.96
"2017-01-13",50.62
"2017-01-17",51.21
"2017-01-18",51.27
"2017-01-19",51.01
"2017-01-20",51.13
"2017-01-23",51.21
"2017-01-24",51.65
"2017-01-25",51.45
